# NOTES:
# The # Symbol at the start of a line counts as a Comment. To include in dialog, use a \#
# The . Symbol will cause a pause unless escaped with \. (ex: Mr. Oshiro has a pause, Mr\. Oshiro does not)
# Newlines automatically create a Page Break, unless there is an {n} command on the previous line
# Commands: Anything inside of curly braces {...} is a command and should not be translated.

# Inline Text Commands:
# {~}wavy text{/~}
# {!}impact text{/!}
# {>> x}changes speed at which characters are displayed{>>}
# {# 000000}this text is black{#} (uses HEX color values)
# {+MENU_BEGIN} inserts the dialog from the MENU_BEGIN value (in English, "CLIMB")
# {n} creates a newline, without a page break
# {0.5} creates a 0.5 second pause
# {big}this text is large{/big}

# Gameplay Control Commands (should never change)
# {trigger x} this triggers an in-game event
# {anchor} controls the visual position of the textbox in-game

# Language (id,label)
	LANGUAGE=turkish,Türkçe
	ICON=Icons/turkish.png
	ORDER=0

# Font (Face, Base Size)
# Use BMFONT to generate the .fnt and image files
	FONT=Renogare,64

# Done loading Meta Data
	BEGIN=true

# Auto-Saving
	AUTOSAVING_TITLE_NS=
		Bu oyun Otomatik Kaydetme özelliğine sahiptir
	AUTOSAVING_DESC_NS=
		Bu simge görüntülendiğinde
		konsolunuzu kapatmayın
	AUTOSAVING_TITLE_PS4=
		Bu oyun Otomatik Kaydetme özelliğine sahiptir
	AUTOSAVING_DESC_PS4=
		Bu simge görüntülendiğinde
		konsolunuzu kapatmayın
	AUTOSAVING_TITLE_XB1=
		Bu oyun Otomatik Kaydetme özelliğine sahiptir
	AUTOSAVING_DESC_XB1=
		Bu simge görüntülendiğinde
		konsolunuzu kapatmayın
	AUTOSAVING_TITLE_PC=
		Bu oyun Otomatik Kaydetme özelliğine sahiptir
	AUTOSAVING_DESC_PC=
		Bu simge görüntülendiğinde
		bilgisayarınızı kapatmayın

# Main Menu
	MENU_DEBUG=		~DEBUG~
		Imm... "Dünya yıkılsa umrumda değil?"

		[THEO left wtf]
		Yok, o değil.

		[THEO left excited]
		Tamam, buldum...

		{trigger 0 Theo pumps his fist in the air}
		
		[THEO left yolo]
		{big}{~}BİR DAHA MI{>> 0.5} GELECEZ{>> 0.2} DÜNYAYAAAA!!{>>}{/~}{/big}

	MEMORIAL=
		-- CELESTE DAĞI --
		Bu anıt, tırmanış sırasında
		ölenlere adanmıştır.

	CH1_END=
		[MADELINE left distracted]
		Uf, çok yoruldum.

		{trigger 0 MADELINE sits down to rest. A bird swoops in, lands on her head, and goes to sleep}
		
		[MADELINE left deadpan]
		{>> 0.4}Bunu yapmak bir hata olabilir.

# *** Chapter 02 ***

	CH2_BADELINE_INTRO=
		{anchor top}
		
		[BADELINE left normal]
		{+MADELINE}, tatlım, biraz sakinleş.

		{trigger 0 Madeline turns around}
		
		[MADELINE right distracted]
		Sakin olmadığımı da nereden çıkardın?
		
		[BADELINE left normal]
		Oh, ben sadece endişeli bir gözlemciyim.

		{trigger 1 Badeline is revealed}
		
		[MADELINE right sad]
		Sen... ben misin?

		[BADELINE left normal]
		Ben senin {+PART_OF_YOU}ım.

		[MADELINE right sad]
		Neden benim {+PART_OF_ME} çok {0.3}{*}ürkütücü{/*} görünüyor?

		[BADELINE left worried]
		...

		[BADELINE left angry]
		Olduğum gibi görünüyorum, tamam mı?
		Alış buna.

		[MADELINE right distracted]
		Üzgünüm, öyle demek-

		[BADELINE left angry]
		Unut gitsin.
		Kafanın içinden {~}nihayet{/~} çıkmış olmanın{n}nasıl da rahatlatıcı olduğunu anlatamam.

		[BADELINE left upset]
		Ama bak, ikimiz için endişeleniyorum.

		[BADELINE left normal]
		Bize bir meşgale lazım, tırmanmak dışında...
		
		[MADELINE right sad]
		Kulağa çılgınca geldiğini biliyorum,{n}Ama bu {+mountain}a tırmanmam gerekiyor.

		{trigger 2 Badeline starts laughing}
		
		[BADELINE left scoff]
		Birçok şey olabilirsin, tatlım,{n}ama bir {~}dağcı{/~} değilsin.

		[MADELINE right distracted]
		Olamayacağımı kim söylemiş?

		{trigger 3 Badeline stops laughing}
		
		[BADELINE left upset]
		Bunun senin güçlü yanın olmadığını biliyorum,{n}ama bir kereliğine mantıklı ol.
		Neye bulaştığın hakkında hiçbir fikrin yok.
		Bununla başa çıkamazsın.
		
		[MADELINE right upset]
		Zaten bu yüzden bunu yapmam gerek.
		Sen zayıf olan parçam mı yoksa tembel olan parçam mısın?

		[BADELINE left upset]
		Ben pragmatik olan parçanım.
		
		[BADELINE left scoff]
		Ve burada diplomatik olmaya {~}çabalıyorum{/~}.
		
		[BADELINE left serious]
		{s 4}Hadi eve gidelim {.6}[BADELINE left serious_alt]birlikte.

	CH2_DREAM_PHONECALL=
		[MADELINE_PHONE left distracted]
		Alo?
		
		[EX_PHONE right normal]
		{+MADELINE}?
		...ankesörlü telefondan mı arıyorsun?

		[MADELINE_PHONE left distracted]
		Evet.

		[MADELINE_PHONE left sad]
		Hayır, bekle... Sen beni aradın.

		[EX_PHONE right normal]
		Neden bahsediyorsun?
		
		[MADELINE_PHONE left distracted]
		Önemli değil. Başım belada.
		Biri tarafından... takip ediliyorum.

		[MADELINE_PHONE left sad]
		Gerçekten neler olduğunu anlamıyorum,{n}ama tehlikede olduğuma eminim. Hissedebiliyorum.
		
		[EX_PHONE right normal]
		{+MADELINE}, beni sadece gecenin ortasında{n}paniklediğinde arıyorsun.
		Dikkatimi çekmek için saçma bir{n}hikaye uydurmana gerek yok.
		
		[MADELINE_PHONE left angry]
		Uydurmuyorum!
		Hep böyle yapıyorsun!
		
		[EX_PHONE right normal]
		{~}Şşşş{/~} {0.5}geçti, sakinleş.
		Üzgünüm tatlım.
		Anlat bana.
		
		[MADELINE_PHONE left sad]
		{+celeste_mountain}nı tırmanıyorum.{n}Eski bir ayna buldum ve paramparça oldu,{n}benim bir parçam kaçtı, ve...

		[MADELINE_PHONE left upset]
		...
		...Rüya görüyorum, değil mi?
		
		[EX_PHONE right normal]
		{+MADELINE}. Tabii ki rüya görüyorsun.
		Seninle aylardır konuşmadık.
		Neden şimdi konuşmaya başlayalım ki?
		
		[MADELINE_PHONE left angry]
		Uf! Neden bu aptal {+mountain}ı tırmanıyorum ki?

		{trigger 0 Badeline appears}
		
		[BADELINE right scoff]
		Ben de aynı şeyi merak ediyorum.
		
		[BADELINE right upset]
		Vazgeçip eve gitme zamanı.

	# if the MADELINE has never met Theo before
	CH2_THEO_INTRO_NEVER_MET=
		[THEO left normal]
		Orada dur, yoldaş gezgin!
		
		[MADELINE right distracted]
		Aa... Merhaba.

		{trigger 0 Madeline approaches}

		[THEO left normal]
		Sen de mi buraya bu harabeleri incelemek için geldin?
		
		[MADELINE right sad]
		Aaa... hayır, zirveye doğru gidiyorum.
		
		[THEO left excited]
		Vaay, bu delilik!
		
		[THEO left normal]
		Ben {+ theo} bu arada, {>> 0.3}{~}uzak diyarlardan{/~}{>>} bir maceracı!
		
		[MADELINE right sad]
		...{0.2}
		
		[THEO left thinking]
		Çok konuşkan değilsin, değil mi?
		
		[THEO left normal]
		Gizemli yalnız kurt tarzı, anladım.{n}Karanlık bir geçmişin olduğunu kabul edeceğim.

	# if the MADELINE has met Theo, but never introduced herself
	CH2_THEO_INTRO_NEVER_INTRODUCED=
		[MADELINE right sad]
		Hey {+ theo}, demin için üzgünüm.{n}Ben {+MADELINE}.
		Kafam epey dolu bu ara.
		
		[THEO left normal]
		Öyleyse burası bunun için mükemmel bir yer.
		Bu harabelerle ilgili birşey çok içe kapanık geliyor.
		Bana aynaya bakma isteği uyandırıyor,{n} tabiri caizse.
		
		[MADELINE right distracted]
		Evet... Anladım.

		[MADELINE right normal]
		Peki buraya hangi "{>> 0.5}{~}uzak diyarlardan{/~}{>>}" yelken açtın?
		
		[THEO left excited]
		Şöyle ki benim meraklı yurtdaşım, Ben buraya{n}{0.3}{~}mistik,{0.4} esrarengiz{/~}{0.4} bir krallık olan...
		
		[THEO left normal]
		{0.4} Seattle'dan geldim.

		[MADELINE right normal]
		Bayağı özel bir yere benziyor.

	# added to the start of the CH2_THEO_A if the MADELINE has met and introduced themselves to Theo
	# (if NEVER_MET and NEVER_INTRODUCED are skipped)
	CH2_THEO_A_EXT=
		[THEO left excited]
		Hey, {+MADELINE}!{n}Başardın!

		{trigger 3 Madeline Approaches}

		{+ CH2_THEO_A}

	# normal conversation once introductions are out of the way
	CH2_THEO_A=
		[THEO left normal]
		Buraya tırmanmak zordu,{n}ama buna kesinlikle değdi.
		
		[THEO left excited]
		Şu harabelere baksana!
		Bayağı güzel fotoğraflar çektim, görmek ister misin?
		
		[MADELINE right sad]
		Oo... [MADELINE right normal]tabii.

		{trigger 0 Maddy walks to Theo}

		[MADELINE right normal]
		{+ theo}, bunlar harika!
		
		[THEO left thinking]
		Belki bunlarla nihayet binlerce takipçiye ulaşırım.

		{trigger 1 Theo puts away phone}
		
		[THEO left normal]
		Ov! Bu olayı resmi olarak ölümsüzleştirmemiz gerekiyor...
		
		[THEO left excited]
		Benimle bir selfie çek!
		
		[MADELINE right distracted]
		Iıı... Şu an bunun iyi bir fikir olduğunu düşünmüyorum...
		
		[THEO left normal]
		Hadi ama, çok kolay. Aynen şöyle!

		{trigger 2 Theo takes a selfie with Maddy by surprise}
		
		[MADELINE right upset]
		...

	CH2_THEO_B=
		[THEO left normal]
		Bunun için üzgünüm.
		Endişelenme, bunu yüklemeyeceğim.

		[MADELINE right distracted]
		...
		
		[MADELINE right sad]
		Hayır, sorun değil. Yükleyebilirsin.
		Ben sadece{.2} fotoğrafta iyi çıkmıyorum.
		
		[THEO left normal]
		{+MADELINE}, kendine bu kadar yüklenme!
		Kimse filtresiz iyi görünmez zaten.

		{trigger 0 Add filter to selfie}
		
		[THEO left thinking]
		Gündelik ama zarif.

	CH2_THEO_C=
		[MADELINE right normal]
		Fotoğrafçılığı denemek istemene ne sebep oldu?

		[THEO left normal]
		Büyükbabam buna kendini kaptırmıştı.

		[THEO left thinking]
		Görünüşe göre fotoğraf dünyasında{n}hemen hemen ünlüydü.

		[THEO left wtf]
		Onun kadar iyi olabilir miyim bilmiyorum.

		[THEO left normal]
		Ama ona yakın hissetmek güzel.

	CH2_THEO_D=
		[THEO left excited]
		Yani tüm {+mountain}ı tırmanmaya kararlısın?
		
		[MADELINE right normal]
		Evet, kendime söz verdim.

		[MADELINE right sad]
		Artık kendime verdiğim sözlerden caymak istemiyorum.
		
		[THEO left excited]
		Bu hayatının amacı, he! Şimdi çaktım.
		
		[THEO left normal]
		Senin gibi zirveye çıkacağımdan şüpheliyim{n}ama henüz geri dönmeye de hazır değilim.

	CH2_THEO_E=
		[THEO left wtf]
		Burada telefonunda internet çekiyor mu?
		
		[MADELINE right normal]
		Akıllı telefonum yok.
		
		[THEO left wtf]
		{+MADELINE}. Buna nasıl cevap vereceğimi bilemiyorum.

	CH2_END_PHONECALL=
		[MOM_PHONE right normal]
		Alo?
		
		[MADELINE_PHONE left distracted]
		Merhaba {+ mom}.
		
		[MOM_PHONE right normal]
		{+MADELINE}, ne güzel bir sürpriz!
		Yolculuğun nasıl gidiyor?
		
		[MADELINE_PHONE left distracted]
		İdare eder, Sadece biraz... bunalmış hissediyorum.
		
		[MOM_PHONE right concerned]
		Amanın, yine panik atak mı geçiriyorsun?
		Nefesine odaklan balım, ben buradayım.
		Neler oluyor bakayım?

	CH2_JOURNAL=
		Tozlu, eski bir kitap açık şekilde masanın üzerinde duruyor.
		Soluk sayfasında bir şiir yazıyor.

	CH2_POEM=
		Bir görünüş{n}
		Bu dünyadan değil{n}
		Ama bu yüzden{n}
		Çerçevenin dışında gizleniyor{n}{n}
		Uyanıkken kalbim bir kale{n}
		Ancak rüyalarda savunmasızım

# *** Chapter 03 ***

	CH3_OSHIRO_FRONT_DESK=
		[OSHIRO right normal]
		Hoşgeldiniz! Nasıl yardımcı olabilirim?

		[MADELINE left surprised]
		Siz bir... hayalet misiniz?
		
		[OSHIRO right worried]
		Hayalet mi? Saçmalama.
		
		[OSHIRO right normal]
		Ben bu güzel kurumun bir görevlisiyim.

		[OSHIRO right worried]
		{~}{>> .2}Dünyaca ünlü{/~}{>>}{n}{big}Göksel Dinlenme Tesisine{/big}{.3} hoş geldiniz!

		[OSHIRO right normal]
		{+ mroshiro}, hizmetinizdedir.
		
		[OSHIRO right sidehappy]
		{+thought}Bir günde iki misafir!{n}Sonunda işler toparlanıyor!{+endthought}
		
		[OSHIRO right normal]
		Ne kadar süre bizimle kalacaksınız?
		
		[MADELINE left normal]
		Oo... Sadece geçiyorum.{n}Ben {+mountain}a tırmanıyorum.
		Arka çıkışınız var mı?
		
		[OSHIRO right worried]
		...arka çıkış mı?
		
		[OSHIRO right sideworried]
		{+thought}Sadece geçiyor mu? Olamaz.{+endthought}
		
		[MADELINE left distracted]
		Sizi hala duyabildiğimi biliyorsunuz, değil mi?
		
		[OSHIRO right nervous]
		...
		
		[OSHIRO right normal]
		Her halükarda arka servis kapımız sadece{n}otel çalışanlarımızın kullanımına açıktır.

		[OSHIRO right worried]
		Ancak, en üst kattaki kral dairemiz{n}birinci sınıf bir zirve manzarasına sahiptir.

		[OSHIRO right normal]
		Evet, orada oldukça rahat edeceksiniz.
		
		[MADELINE left distracted]
		Belki oradan çatıya çıkıp{n}tekrar aşağı inebilirim?
		
		[OSHIRO right sidehappy]
		{+thought}Kral dairesi, harika fikir {+ oshiro}!{+endthought}
		
		[OSHIRO right normal]
		Kayıtlarımız için, isminizi rica edebilir miyim?
		
		[MADELINE left normal]
		Ben {+MADELINE}. 
		
		[MADELINE left sad]
		Ama tekrarlıyorum, gerçekten gece kalmayı düşünmüyorum.

		{trigger 0 Camera zooms back out}
		
		[OSHIRO right normal]
		Bu taraftan, {+MS_MADELINE}.

	CH3_GUESTBOOK=
		Çok eski ve tozlu bir ziyaretçi defteri gibi görünüyor.
		Sayfaların çoğu hasar görmüş veya kayıp.
		Ancak yorumlar, adeta parıldıyor...
		"Burada geçirdiğimiz zamanı asla unutmayacağız."
		"Hiç bu kadar huzurlu hissetmemiştim. Teşekkür ederim."
	
	CH3_OSHIRO_HALLWAY_A=
		[OSHIRO right normal]
		Lütfen beni yakından takip edin, {+MS_MADELINE}.
		Asansör koridorun hemen aşağısında.
		
		[MADELINE left distracted]
		Otel oldukça berbat durumda...

		[MADELINE left sad]
		Gerçekten burası hizmete açık mı?
		
		[OSHIRO right nervous]
		Tabii ki açığız!

		[OSHIRO right worried]
		Göksel Dinlenme Tesisi asla{n}ana turizm sezonunda kapanmaz!

		[OSHIRO right sideworried]
		{+thought}Berbat halde mi? Bununla neyi kastetti ki?{+endthought}

		[OSHIRO right normal]
		Oo! Lütfen bavulunuzu taşımama izin verin.
		
		[MADELINE left sad]
		Çantamı mı?

		[MADELINE left normal]
		Hayır teşekkürler, ben taşırım.
		
		[OSHIRO right normal]
		Hmm. Pekala.
		
		[OSHIRO right sidesuspicious]
		{+thought}Ne tuhaf bir misafir.{+endthought}

	CH3_OSHIRO_HALLWAY_B=
		[OSHIRO right normal]
		{+MS_MADELINE}, devam etmeniz için size yalvarıyorum.

		[OSHIRO right worried]
		Burada dünya çapında bir kuruluş yönetiyorum.{n}Ortalıkta gezinen misafirleri bekleyecek vaktim yok.
		
		[MADELINE left sad]
		Gerçekten beni beklemene gerek yok.{n}Ben sadece bu yerden geçip gitmenin bir yolunu arıyorum.
		
		[OSHIRO right sideworried]
		{+thought}{+oshiro} seni aptal, müşteri daima haklıdır!{+endthought}
		{+thought}İşler nihayet toparlanıyor{n}ve sen öfkeni kontrol edemiyorsun!?{+endthought}
		
		[OSHIRO right nervous]
		Oo... tabii ki {+MS_MADELINE}!
		İçtenlikle özür dilerim, haddimi aştım.

		[OSHIRO right normal]
		Lütfen, boş vaktinizde mekanı keşfetmekten çekinmeyin.

	CH3_MEMO_OPENING=
		Dağınıklığın arasından eski bir kağıt çıkıyor...

	CH3_MEMO=
		{big}Otel personelinin dikkatine:{/big}{n}{n}
		Kontrolümüz dışındaki koşullar nedeniyle bu sezondan sonra süresiz olarak kapanacağını size bildirmek üzücü bir yükümlülük.{n}{n}
		Konuklarımızın mümkün olan en misafirperver ve unutulmaz deneyimlerden keyif almalarını sağlamak için yorulmadan çalıştığımızdan, hepinizin yanında hizmet etmek bizim için bir onurdu. {n}{n}
		Bunu buruk bir kalple yazıyorum. Bu otel benim evim, çalışanların ve ailemin koruyucusu haline geldi. Hepinizi çok özleyeceğim.{n}{n}
		-Bay Oshiro

	CH3_OSHIRO_CLUTTER0=
		[OSHIRO left worried]
		Aaah! Bu dağınıklık kontrolden çıktı!

		{trigger 1 Oshiro paces to the left}

		[OSHIRO left worried flip]
		Bu ne zaman oldu!?

		{trigger 2 Oshiro paces back to the right}

		[OSHIRO left worried]
		Nereden başlayacağımı bile bilmiyorum...
		
		[MADELINE right sad]
		{+mroshiro}, burayı kendi başınıza mı işletiyorsunuz?
		
		[OSHIRO left nervous]
		Haklısınız {+MS_MADELINE},{n}Bu karışıklığı asla tek başıma çözmemem..

		{trigger 0 Oshiro Collapses}
		
		[OSHIRO left drama]
		Umutsuz vakayım.

		[MADELINE right distracted]
		Bunu kastetmemiştim...

		[MADELINE right sad]
		Sadece nefes alın, {+MROSHIRO}. Nefes alın.
		Bu sadece küçük bir bahar temizliği.
		
		[MADELINE right distracted]
		Yani, küçükten biraz fazla...
		
		[MADELINE right normal]
		Ama yardım edebilirim!
		
		[OSHIRO left normal]
		Çok kibarsınız.
		
		[OSHIRO left drama]
		Ama ben zahmet bile etmezdim.
		Tamamen ümitsiz vaka.

	CH3_OSHIRO_CLUTTER0_B=
		[MADELINE right normal]
		Oteli ne zamandır işletiyorsunuz?

		[OSHIRO left normal]
		Oo, epey zaman oldu.

		[OSHIRO left sideworried]
		{+thought}İşler epey... yavaş.{+endthought}

		[MADELINE right sad]
		İşini gerçekten seviyor olmalısınız.

		[OSHIRO left normal]
		Tabii ki, {+MS_MADELINE}.

		{trigger 0 Oshiro gets back up}

		[OSHIRO left normal]
		Otel işinde, tutkumuz misafirperverliğin{n}zarif sanatını mükemmelleştirmektir.

		[OSHIRO left worried]
		Gerçekten harika bir otel{.2} memnun müşterilerinin{n}anılarında {~}sonsuza kadar{/~} yaşar.

		[MADELINE right normal]
		İşte ruh budur!
		Şimdi şu karmaşanın hakkından gelelim.

	CH3_OSHIRO_CLUTTER1=
		[OSHIRO right normal]
		Temizlemeye bile başlamadım ve şimdiden{n}ruhumun yeniden hafiflediğini hissedebiliyorum!
		İşte bu olumlu düşünmenin gücü!
		
		[MADELINE left distracted]
		Imm, aslında...
		
		[MADELINE left normal]
		Ben karmaşanın bir kısmını senin için temizledim.
		
		[OSHIRO right normal]
		Aa tabii, teşekkür ederim, {+MS_MADELINE}.
		Ama lütfen, rahatlayın ve otel çalışanları sizin için halletsin!
		
		[OSHIRO right sidesuspicious]
		{+thought}{+oshiro}, seni aptal. Onu kaybediyorsun.{+endthought}

		[OSHIRO right sideworried]
		{+thought}Misafirler zamanlarını temizlik için harcamak istemez!{+endthought}
		
		[MADELINE left distracted]
		İyi misiniz?
		
		[OSHIRO right nervous]
		Evet, tabii ki.

		[OSHIRO right worried]
		Bu şimdiye kadar ziyaret edeceğiniz en güzel otel, göreceksiniz!
		
		[OSHIRO right sideworried]
		{+thought}Sorunlarımın böyle birikmesine nasıl izin verebildim?{+endthought}

	CH3_OSHIRO_CLUTTER1_B=

		[MADELINE left sad]
		{+mroshiro}, karışıklığın sizi{n}endişelendirmesi sorun değil.

		[MADELINE left normal]
		Hala gece kalamam ama ayrılmadan önce yardım edebilirim.

		[OSHIRO right sideworried]
		{+thought}Sana acıyor, {+oshiro}. Acınacak haldesin.{+endthought}

		[MADELINE left upset]
		...

	CH3_OSHIRO_CLUTTER2=
		[MADELINE left normal]
		Burası çok daha güzel görünüyor!
		
		[MADELINE left distracted]
		Şimdi bana çıkışı gösterebilir misiniz?

		[OSHIRO right worried]
		Ama {+MS_MADELINE}, hala otelimizin sunduğu sayısız lüksün zevkini tatmadınız!
		
		[OSHIRO right normal]
		Ben temizliği bitirdikten sonra daha fazla konuşabiliriz.

		[OSHIRO right worried]
		Çok meşgulüm!

		[OSHIRO right sidesuspicious]
		{+thought}Evet... zamane gençlerinde de saygı denen şey kalmamış.{+endthought}
		
		[MADELINE left upset]
		...rica ederim, aman ya.

	CH3_OSHIRO_CLUTTER2_B=
		[MADELINE left angry]
		Yardım etmemi istiyor musunuz,{.3} istemiyor musunuz?

		[OSHIRO right sideworried]
		{+thought}Herşey bitti, {+oshiro}. Senden nefret ediyor.{+endthought}

		[MADELINE left upset]
		Et{.3}miyorum... 

		[MADELINE left distracted]
		Üzgünüm.

		[MADELINE left sad]
		Oteliniz...  çok güzel. Gerçekten dünya çapında.
		Keşke kalabilseydim.

		[OSHIRO right serious]
		Benimle dalga geçmenize gerek yok, {+MS_MADELINE}.
		Anladım.

	CH3_OSHIRO_CLUTTER_ENDING=
		{anchor bottom}
		[OSHIRO left normal]
		İşte buradasınız!
		Kesinlikle ortalık başıboş dolanma konusunda yeteneklisiniz.
		
		[MADELINE right distracted]
		Zordu ama sizin için her şeyi toparladım.
		
		[OSHIRO left normal]
		Göksel Dinlenme Tesisi yardımınız için{n}minnettarlığını sunar, {+MS_MADELINE}.
		Tabii ki, personel dağınıklığı kontrol altına almıştı.
		
		[MADELINE right upset]
		Of, aman tabii. Evet.
		
		[OSHIRO left sideworried]
		{+thought}Ne kadar aşağılayıcı.{+endthought}
		
		[OSHIRO left worried]
		Odanızı görmek için sabırsızlanıyor olmalısınız!

		[OSHIRO left normal]
		Sadece asansörün yukarısında ve koridorun aşağısında.
		
		[MADELINE right upset]
		Tabii, kimin umrunda. 
		Bana kral dairesini gösterin.
		Kulağa hoş geliyor.
		
		[OSHIRO left sideworried]
		{+thought}Şimdi son şansın, {+oshiro}. Onu elinden kaçırma.{+endthought}

	CH3_THEO_NEVER_MET=
		[MADELINE left sad]
		Aa hey, sen burada... {0.2}misafir misin?

		{trigger 0 Theo stops trying to pry off the vent cover}
		
		[THEO right worried]
		Vay, Ben {~}{!}çok{/!}{/~} mutluyum burada başka birini gördüğüm için.
		Bu yer beni cidden ürkütüyor.
		
		[MADELINE left sad]
		Kesinlikle burada tuhaf bir şeyler var.

		[MADELINE left normal]
		Ben {+MADELINE}, bu arada.
		
		[THEO right normal]
		Oo, Ben {+theo}.
		
		[THEO right thinking]
		Ürkütücü gizemler beni cezbediyor,{n}ama bu çok gerçek bir hal aldı.

		{+CH3_THEO_ESCAPING}

	CH3_THEO_NEVER_INTRODUCED=
		[MADELINE left normal]
		{+theo}! Sen de buranın "misafiri" misin?

		{trigger 0 Theo stops trying to pry off the vent cover}
		
		[THEO right worried]
		Vay, Ben {~}{!}çok{/!}{/~} mutluyum burada başka birini gördüğüm için.
		Ürkütücü gizemler beni cezbediyor,{n}ama bu çok gerçek bir hal aldı.
		
		[MADELINE left sad]
		Kesinlikle burada tuhaf bir şeyler var.

		[MADELINE left normal]
		Ben {+MADELINE}, bu arada.
		Daha önce antisosyal davrandığım için üzgünüm.,{n}Kafamda allak bullaktı.

		{+CH3_THEO_ESCAPING}

	CH3_THEO_INTRO=
		[MADELINE left normal]
		{+theo}! Sen de buranın "misafiri" misin?

		{trigger 0 Theo stops trying to pry off the vent cover}
		
		[THEO right worried]
		{+MADELINE}! Ben {~}{!}çok{/!}{/~} seni burada gördüğüm için.
		Ürkütücü gizemler beni cezbediyor,{n}ama bu çok gerçek bir hal aldı.

		{+CH3_THEO_ESCAPING}

	CH3_THEO_ESCAPING=
		[MADELINE left sad]
		{+mroshiro} konuştun mu?

		[MADELINE left distracted]
		Sanırım biraz yardıma ihtiyacı olabilir.

		{trigger 0 Theo stops trying to pry off the vent cover}
		
		[THEO right wtf]
		{~}Sanıyor musun?{/~} 
		O ürkütücü yaşlı bir ucube.
		Bahse girerim biz konuşurken{n}vücutlarımızı saklamak için bir kuytu köşeyi temizliyor.

		{trigger 1 Theo goes back to prying off the vent cover}
		
		[THEO right worried]
		Bu havalandırma deliğinden geçeceğim,{n}dışarıdan soğuk hava geliyor.
		Haydi!
		
		[MADELINE left sad]
		{+mroshiro}'nun sorunları var, ama...{n}Ben onun bizi incitmek isteyeceğini düşünmüyorum.
		
		[MADELINE left normal]
		Sadece bu dağınıklı temizlemesi gerekiyor.
		Ona yardım etmek istiyorum.
		
		[THEO right worried flip]
		{+MADELINE}, bu çok hoş ama aynı zamanda çok tehlikeli.
		
		{trigger 2 Theo removes vent cover and it flies off. Theo falls down as it comes off, and gets back up}

		[THEO right worried]
		Buradan çıkıp {0.2}{*}ürkütücü yaşlı adamlar{/*}{n}konusunda bir uzman çağırmalıyız.
		Buna hazırlıklı değiliz.
		
		[MADELINE left distracted]
		Sanırım ona ulaşabilirim.

		[MADELINE left normal]
		Sen devam et, sana sonra yetişirim.
		
		[THEO right wtf]
		Dostum, kardeşimden daha inatçısın.
		Bunun imkansız olduğunu düşünürdüm.

		{trigger 3 Theo walks to Maddy}
		
		[THEO right serious]
		Kendine dikkat et.

		[MADELINE left normal]
		Teşekkürler {+theo}. Dışarıda görüşürüz.

	CH3_THEO_VENTS=
		{anchor bottom}
		[THEO right normal upsidedown]
		Adamım, burası adeta bir labirent.
		{+elcreepo} ile işler nasıl gidiyor?
		
		[MADELINE left sad]
		O kocaman dağınıklığı toparlamasına yardım ettim,{n}ama o bu konuda ahmakça davrandı.
		
		[MADELINE left upset]
		Ve hala beni kalmaya ikna edebileceğini düşünüyor.
		
		[THEO right wtf upsidedown]
		{+MADELINE}, cidden.
		Kötü fikir radarım bu konuda {~}çizelgelerin dışına çıktı{/~}
		Buradan kurtulmalısın.
		
		[MADELINE left sad]
		Şimdi ortadan kaybolursam, {+mroshiro} kendini kaybeder.
		
		[MADELINE left distracted]
		Ve belki ben onun için{n}gerçekten iyi birşey yapabilirim.{.3}Bir kereliğine de olsa.
		
		[THEO right worried upsidedown]
		{~}karmanı{/~} bir kenara bırak, adamım.

		[THEO right wtf upsidedown]
		Bence şu adam ne olursa olsun kendini kaybedecek zaten.

		[THEO right worried upsidedown]
		Kendi güvenliğini düşünmelisin.
		
		[MADELINE left upset]
		{+theo}. Bana birşey olmayacak.
		
		[THEO right thinking upsidedown]
		Tabii tabii, beni dinlemeni beklemiyordum zaten.

		[THEO right wtf upsidedown]
		Dışarıda görüşürüz, hapis kuşu.

	CH3_OSHIRO_BREAKDOWN=
		{anchor top}
		[OSHIRO left sideworried]
		{+thought}İşte bu {+oshiro}, son şansın.{+endthought}

		{trigger 0 Oshiro paces}
		
		[OSHIRO right sidesuspicious]
		{+thought}Zaten mahvettin.{n}Kendi dağınıklığını misafire toplatmak mı?{+endthought}
		{+thought}O asla kalmayacak.{+endthought}

		{trigger 1 Oshiro paces}
		
		[OSHIRO left sideworried]
		{+thought}Hayır, hala burada. Hala bir şans var!{+endthought}

		{trigger 0 Oshiro paces}
		
		[OSHIRO right sidehappy]
		{+thought}Kral dairesi bunun anahtarı.{n}Kesinlikle onu etkileyecek!{+endthought}

		{trigger 2 Oshiro falls to ground, spawns dust creatures}
		
		[OSHIRO left sideworried]
		{+thought}Toparlan, {+oshiro}!{+endthought}

		{trigger 3 Enter Madeline}
		
		[OSHIRO left nervous]
		İşte buradasınız, {+MS_MADELINE}!
		Beni hemen takip edin! Neredeyse vardık.

	CH3_DIARY=
		{anchor bottom}
		Bu {+MROSHIRO}'nun dünlüğü.
		Son yazının üzerinden onlarca yıl geçmiş gibi görünüyor...
